id;productgroup;main_text;add_text;manufacturer
42327311;BICYCLES;DIAMONDBACK REMIX AQUA BLUE .;1_6_4;DIAMONDBACK
62289562;USB MEMORY;ZZ USB-STICK  8GB  GOODRAM MIMIC BLACK USB 3.0 RETAIL;USB-SPEICHER;GOODRAM
26215979;WASHINGMACHINES;WASCHTROCKNER WD15G490;WASCHTROCKNER;SIEMENS
23157946;WASHINGMACHINES;AEG LAVAMAT 62260 TL;5060;ELECTROLUX HAUSGERäTE GMBH AEG
62210429;CONTACT LENSES;BIOFINITY TORIC 3ER BOX3 STÜCKUNISEX;LINSEN;COOPER
55753198;WASHINGMACHINES;BEKO WMB 71432 PTEU AKTION:0;72;
25762348;WASHINGMACHINES;WAWH 8690;WASCHAUTOMAT;BOSCH
40714573;USB MEMORY;USB-STICK  16GB VERBATIM 2.0 STORE'N STAY + OTG ADAPTER RETA;USB-SPEICHER;VERBATIM
62105048;USB MEMORY;USB DRIVE 2.0 ALU 64GB SILBER USB DRIVE 2.0 ALU 64GB SILBER INTENSO USB STICK 3521492;ELECTRONIC OFFICE SUPPLIES - ARTGR ELECTRONIC OFFICE SUPPLIES;IN
18136906;CONTACT LENSES;SOFLENS 38 MONATSLINSEN WEICH, 6 STUECK / BC 9.00 MM / DIA 14.00 MM / -03.25 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3101SPHERICCONTACTLENSES;BAUSCH + LOMB
72319824;CONTACT LENSES;CONTACTLINSEN COOPER VISION LUNELLE ES 70 UV;CL;COOPER VISION
40672594;USB MEMORY;USB-STICK 128GB SAMSUNG MUF-128CB/EU RETAIL;USB-SPEICHER;SAMSUNG
64597366;USB MEMORY;8GB JETFLASH 500____;__TRA_CONSUMER PRODUCTS__;TRANSCEND
29200958;USB MEMORY;USB 2.0 STICK 8 GB VERBATIM;28;
66679164;USB MEMORY;CORSAIR VOYAGER GTX 2 USB 3.0;30000785;CORSAIR MEMORY
42319319;BICYCLES;BERGAMONT REVOX 5.0 BLACK/NEONGREEN/WHITE 60 CM;1_1_5;BERGAMONT
26145417;WASHINGMACHINES;GOR WASCHAUTOMAT  W 7544 T/I ST  1 492472;24;
16356739;CONTACT LENSES;AIR OPTIX NIGHT & DAY AQUA MONATSLINSEN WEICH, 6 STUECK / BC 8,6 MM / DIA 13,8 MM / -02,25 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3101SPHERICCONTACTLENSES;ALCON
56563320;USB MEMORY;PLATINUM WM USB-STICK 16GB AKTION:0;82;
21208503;WASHINGMACHINES;SIEMENS WM14N2B1 - WASCHMASCHINE, 7 KG, A+++;11001;SIEMENS
40717542;USB MEMORY;USB-STICK  8GB INTEGRAL CRYPTO 197  DUAL ENCRYPTION RETAIL;USB-SPEICHER;INTEGRAL
25080534;WASHINGMACHINES;110 HGG WAM SIEMENS WM14E3A1 WEIÃŸ# B-WARE;UNASSIGNED;SIEMENS
72239741;CONTACT LENSES;CONTACTLINSEN BAUSCH+LOMB BIOTRUE ONEDAY 30ER BOX;CL;BAUSCH+LOMB
63620021;BICYCLES;PROPHETE ALU-TREKKING HERREN 28  ENTDECKER 6.1 HERREN FAHRRAD SCHWARZ 51096-1111;SPORT & FREIZEIT__TREKKINGRAEDER;PROPHETE
42308937;BICYCLES;KAWASAKI KUMA 16 WEISS/ROSA 28 CM;1_6_9;KAWASAKI
62232879;CONTACT LENSES;SAFE-GEL 306 STÜCKUNISEX;LINSEN;SAFILENS
29994791;WASHINGMACHINES;WASCHAUTOMAT  GORENJE WA 784;6940510;
18665819;USB MEMORY;SANDISK ULTRA 128 GB DUAL USB-FLASH-LAUFWERK USB 3.0 BIS ZU 150MB/SEK;PC__1100COMPUTINGMEMORY__1105USBFLASHDRIVES;SANDISK
62204146;CONTACT LENSES;AVAIRA TORIC 6ER BOX6 STÜCKUNISEX;LINSEN;COOPER
17912379;CONTACT LENSES;ACUVUE 1-DAY TRUEYE TAGESLINSEN WEICH, 10 STUECK / BC 8.5 MM / DIA 14.20 / -3.75 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3101SPHERICCONTACTLENSES;ACUVUE KONTAKTLINSEN
37729485;BICYCLES;2. WAHL: SERIOUS ROCKVILLE STREET 26 BLACK;RESTPOSTEN>>FAHRRADRESTPOSTEN>>MTBS&FULLYS;SERIOUS
66970797;BICYCLES;261685  FATBIKE 26 FATBIKE 26 ROT/RO 3;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_MOUNTAINBIKE;
23824881;WASHINGMACHINES;0 WKH 270 WPS LOTOSWEISS;2019;MIELE
61546303;WASHINGMACHINES;EDITION 70 WASCHMASCHINE;10001_100000009_1000001__STANDGERAETE_WASCHAUTOMAT_STANDGERAETE;GRUNDIG
23565438;WASHINGMACHINES;WMX 127 WPS XKLUSIV;WEISSEWAREFRONTLADER;MIELE
65845223;USB MEMORY;TRANSCEND JETFLASH 560 8GB;SPEICHER __ DATENTRÄGER/PC-SPEICHER __ USB-STICKS;TRANSCEND
51838530;WASHINGMACHINES;LAVAMAT L 60260 SL  ;00716__WASCHMASCHINE FRONTLADER SCHMAL;AEG
60951906;CONTACT LENSES;8430  SAFE GEL 1-DAY TORIC;UNASSIGNED;
52132883;USB MEMORY;75665 USB 64GB CLASS 10  ;03510__USB STICK;I.ONIK
26566760;USB MEMORY;HAMA FLASHPEN VARIUS 64 GB USB STIC;028011008__MOBILE COMPUTING_FLASH-SPEICHER (USB-STICKS,SD,CF, XD...)_SPEICHERMEDIEN - USB SPEICHERSTICKS;HAM
62223445;CONTACT LENSES;ECCO CHANGE 30 T3 STÜCKUNISEX;LINSEN;MPG&E
42309245;BICYCLES;FUJI WENDIGO SCHWARZ/GRAU/ROT 53 CM;1_1_1;FUJI
30748389;USB MEMORY;INTENSO MICRO LINE  32GB;DATENTRAEGER/PC-SPEICHER;INTENSO
60610881;WASHINGMACHINES;CWF14E24  PACKGR:1;ELEKTRO-GROSSGERAETE__STANDGERAETE__WASCHAUTOMAT-FRONTLADER;CONSTRUCTA ENERGY
26465638;USB MEMORY;ALU LINE USB-STICK 2.0 (32GB) ANTHRAZIT;MASSENSPEICHER;INTENSO
18475377;BICYCLES;PURE FIX CYCLES ERWACHSENE FIXIE THE PAPA-FIXED GEAR FAHRRAD MIT EINEM GANG, GRAU/ORANGE, 54 CM, PAP-GREY-M;SPORTS__30000WHEELED__30070BIKES;PURE FIX CYCLES
23697933;WASHINGMACHINES;IWC 61051 EU WEISS  WASCHMASCHINE, 6 KG FUELLMENGE, SCHLEUDERDREHZAHL U/MIN: MAXIMAL 1.000, 16 WASCHPROGRAMME, STARTZEITVORWAHL, PROGRAMME UND OPTIONEN: ECO, GARDINEN, SEIDE, SPORTSCHUHE, WOLLE, WOLLE/HANDWAESCHE, MENGENAUTOMATIK, ENERGIEEFFIZIENZKLASSE A+, BREITE: 595MM, HOEHE: 850MM, TIEFE: 535MM  85004;WASCHMASCHINEN (STAND);INDESIT
72273657;CONTACT LENSES;CONTACTLINSEN  PUREVISION 2 FOR PRESBYOPIA 3ER BOX;CL;
63433723;USB MEMORY;USB DRIVE 2.0 MICRO 8GB;USB-STICKS FLASH;INTENSO
19519869;CONTACT LENSES;ACUVUE OASYS FOR ASTIGMATISM 2-WOCHENLINSEN WEICH, 6 STUECK / BC 8.6 MM / DIA 14.5 / CYL -2.25 / ACHSE 10 / -5.50 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3102TORICCONTACTLENSES;JOHNSON & JOHNSON
37642046;BICYCLES;2. WAHL: CUBE TRAVEL EXC GREY BLACK FLASHGREEN;RESTPOSTEN>>FAHRRADRESTPOSTEN>>TREKKINGFAHRRAD;CUBE
49057960;WASHINGMACHINES;WLT 24440;20251035__STAND-WASCHMASCHINE-FRONTLADER;BOSCH
37633812;BICYCLES;VOTEC VC PRO 1X11 - CROSS COUNTRY HARDTAIL 29 - BLACK MATT/DARK GREY GLOSSY;FAHRRAEDER>>MOUNTAINBIKES>>CROSSCOUNTRY/RACEHT;VOTEC
52134366;USB MEMORY;ECMMD8GL101 L101 8GB LT SYLVESTER  ;03510__USB STICK;EMTEC
67098795;BICYCLES;211477  TREKKINGRAD 28 TREKKINGRAD 28 BRAUN 3;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_TREKKINGRAEDER;
29201692;WASHINGMACHINES;WV544  NEFF EINBAU-WASCHVOLLAUTOMAT, VOLL INTEGRIERBAR,, EAN=4242004185031;UNASSIGNED;NEFF HNP
62225318;CONTACT LENSES;ECCO SILICONE COMFORT6 STÜCKUNISEX;LINSEN;MPG&E
36408525;WASHINGMACHINES;MIELE WML160WPS D LW TDOS WASCHMASCHINE;WAESCHEPFLEGE (ALLGEMEIN);MIELE
62214502;CONTACT LENSES;BIOFINITY TORIC 3ER BOX3 STÜCKUNISEX;LINSEN;COOPER
42330915;BICYCLES;RALEIGH OXFORD 7 WA MATTSCHWARZ 46 CM;1_4_1;RALEIGH
53951042;USB MEMORY;SAMSUNG 64 GB USB 3.0 SAMSUNG BAR 130MB/S (MUF-64BA/EU;UNASSIGNED;SAMSUNG
60939713;USB MEMORY;VERBATIM USB-STICK GO SWIVEL 49812 8GB • USB STICK MIT PRAKTISCHEN SCHIEBEMECHANISMUS • LESEGESCHWINDIGKEIT: BIS ZU 8 MB/SEC. • SCHREIBGESC  PCK:000 PEH:1 MEH:STUECK;SPEICHERMEDIEN UND COMPUTERZUBEHOER;
28396383;CONTACT LENSES;MENICON Z  001;CL;MENICON
65424665;USB MEMORY;49177;MEMORIE;VERBATIM
66490669;USB MEMORY;ISTORAGE USB 2.0 MEMORY STICK DATASHUR, 16 GB, SCHWARZ;610__KOMPONENTEN;ISTORAGE
61120995;CONTACT LENSES;BIOMEDICS 55 EVOLUTION 6ER BOX;CL;
19679037;CONTACT LENSES;AIR OPTIX COLORS, BROWN, FARBIGE MONATSLINSEN WEICH, 2 STUECK / BC 8.6MM / DIA 14.2 / -4.00 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3104COLOUREDCONTACTLENSES;ALCON
62206316;CONTACT LENSES;ACUVUE ADVANCE FOR ASTIGM.6 STÜCKUNISEX;LINSEN;J&J
24616845;WASHINGMACHINES;WASCHVOLLAUTOMAT WML15106MNE+|| EEK:A+, 15 PROGR., 5KG, 1000U/MIN  5049998;412;BEKO DEUTSCHLAND GMBH
66892503;BICYCLES;702597  CROSSBIKE 28 CROSSBIKE 28 GOLD 58;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_CROSSTREKKING;
62229773;CONTACT LENSES;EXTREME H2O6 STÜCKUNISEX;LINSEN;HYDROGEL V
17927807;CONTACT LENSES;FOCUS DAILIES ALL DAY COMFORT TAGESLINSEN WEICH, 90 STUECK / BC 8.6 MM / DIA 13.8 / +3,75 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3101SPHERICCONTACTLENSES;ALCON
62595655;USB MEMORY;USB-STICK 32GB SILICON POWER ULTIMA II I-SERIES SILVERUSB2.0;USB-SPEICHER;SILICON POWER
17922587;CONTACT LENSES;DAILIES AQUACOMFORT PLUS TAGESLINSEN WEICH, 90 STUECK / BC 8.7 MM / DIA 14.0 / -3,00 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3101SPHERICCONTACTLENSES;ALCON
36093039;USB MEMORY;70220 SANDISK CRUZER POP BRITTO (16GB), USB-STICK  , 16 GB SPEICHERKAPAZITAET, SCHLANKES GEHAEUSE, DAS IN GELDBOERSEN ODER MAPPEN PASST, WITZIGE, SCHICKE DESIGNS MIT VERBORGENEM USB-ANSCHLUSS, SPEICHERN SIE TAUSENDE VON PERSOENLICHEN DATEIEN, SANDISK SECUREACCESS SOFTWARE SORGT FUER NOCH MEHR DATENSICHERHEIT  ME: PE:;SPEICHERMEDIEN__USB-STICK;SANDISK
66615903;BICYCLES;1599714000 26 ZOLL CITYRAD VIKING GAZETTE 7 GANG;SPORT&FITNESS_FAHRRAEDER_CITYRAEDER;VIKING
67214413;BICYCLES;622831  FITNESSBIKE 28 FITNESSBIKE 28 BR.-BL-GELB 3;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_FAHRRAEDER;
67008280;BICYCLES;713387  MTB 275 MTB 27,5 SCHW.-GRAU 2;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_MOUNTAINBIKE;
62595900;USB MEMORY;USB-STICK  32GB SILICON POWER  USB 2.0 COB 850  AMBER;USB-SPEICHER;SILICON POWER
59112398;BICYCLES;563-18948 BULLS PULSAR CROSS STREET 16;753610__75-DAMENCROSS;BULLS ZEG
26373111;WASHINGMACHINES;WM6YH890  WASCHMASCHINE, 9 KG FüLLMENGE,  TFT-DISPLAY, KLARTEXTANZEIGE  I-DOS (DOSIERT VOLLAUTOMATISC;WASCHMASCHINEN;SIEMENS
21924417;BICYCLES;REX ALU CROSS 28  1ST KA;7462;
65722514;USB MEMORY;LEEF ICE USB 3.0 64GB;SPEICHER __ DATENTRAEGER/PC-SPEICHER __ USB-STICKS;LEEF
64787725;USB MEMORY;USB BULK 32GB 2.0 A USB BULK 32GB 2.0 A;CHIAVETTE USB __ 32 GB;NILOX STORAGE
46929714;WASHINGMACHINES;WM14T690 SIEMENS WASCHVOLLAUTOMAT WM14T690;ELEKTRO-GROSSGERAETE_WASCHMASCHINEN (STAND)_UNASSIGNED;SIEMENS
29989173;WASHINGMACHINES;WASCHAUTOMAT  BAUKNECHT WA C;6940510;
25711701;BICYCLES;FISCHER ATB 24ER MAEDCHEN 3GG NEXUS STVZO  S5;FAHRRAEDER // JUGEND-FAHRRAEDER;EVB HANDELSHAUS BOUR GMBH
51794814;WASHINGMACHINES;WDYN 4853  ;00718__WASCHTROCKNER;HOOVER
21251809;WASHINGMACHINES;AEG WASCHAUTOMAT L6469AFL  914903215;GG;AEG
66610285;BICYCLES;1271499002 BACHTENKIRCH KINDERFAHRRAD DREAM CAT 14 ZOLL;SPORT&FITNESS_FAHRRAEDER_KINDER-&JUGENDRAEDER;BACHTENKIRCH
25514353;BICYCLES;FISCHER ALU-FAT-MTB 26ER 24GG DEORE  S6;FAHRRAEDER // FAHRRAEDER MOUNTAIN-BIKES;EVB HANDELSHAUS BOUR GMBH
22580314;WASHINGMACHINES;WK 14 D 541 EINBAU-WASCHTROCKNER;3424;SIEMENES
65284167;USB MEMORY;KINGSTON 4GB IRONKEY ENTERPRISE D250;STORAGE__FLASH MEMORY__USB-STICKS;KINGSTON
55422025;CONTACT LENSES;LEXXOO KOMF.+LINSE  -1,00 DPT. AKTION:0;600799;
68180135;USB MEMORY;DATASHUR FLASH  8 GB;STORAGE;ISTORAGE
17835947;CONTACT LENSES;ACUVUE 1-DAY VISITINT TAGESLINSEN WEICH, 90 STUECK / BC 9 MM / DIA 14.2 / -5.75 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3101SPHERICCONTACTLENSES;ACUVUE
20620730;USB MEMORY;INTENSO 32GB SPEED LINE USB 3.0 3533480;USB-STICKS;INTENSO
25777353;USB MEMORY;8GB / CRUZERBLADE EINZIEHBARER USB ANSCHLUSS;USB STICKS;SANDISK
66935781;BICYCLES;350692  MTB 29 MTB 29 ROT 3;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_MOUNTAINBIKE;
72266956;CONTACT LENSES;CONTACTLINSEN COOPER VISION PROCLEAR (6ER BOX);CL;COOPER VISION
37688587;BICYCLES;FELT NINE 70 29 WEISS;FAHRRAEDER>>MOUNTAINBIKES>>MTBHARDTAILS;FELT
66918528;WASHINGMACHINES;274762  WASCHMASCHINE WASCHMACHINE EH192 WEISS;411103__HARTWAREN_HAUSHALTSELEKTRO_WAESCHEPFLEGEKUEHLEN_WASCHMASCHINEN;
51925741;USB MEMORY;85399 64GB SPACELOOP XL  ;03510__USB STICK;CNMEMORY
26396975;WASHINGMACHINES;WDT6335  WASCHTROCKNER TOPLADER;WASCHTROCKNER;BLOMBERG
42328752;BICYCLES;FUJI NEVADA 27,5 1.3 D SCHWARZ/GRAU 38 CM;1_1_6;FUJI
65785904;USB MEMORY;TRANSCEND JETFLASH 820G 64GB;SPEICHER __ DATENTRAEGER/PC-SPEICHER __ USB-STICKS;TRANSCEND
62206046;CONTACT LENSES;CONTACT DAY 30 TORIC6 STÜCKUNISEX;LINSEN;WOEHLKZEIS
65231577;USB MEMORY;TS16GJF300 16GB USB2.0;THIRD PARTY__THIRD PARTY__;MEDIA MARKT E-COMMERCE
59364452;CONTACT LENSES;1-DAY ACUVUE TRUEYE  90-ER;UNASSIGNED;
23823633;USB MEMORY;0 123956 LAETA TWIN 8GB 10MB/S G;3010;HAMA
24511726;WASHINGMACHINES;WASCHVOLLAUTOMAT WAB28270|| EEK:A+++,1400U/MIN,6KG BELADUNG  5045129;412;ROBERT BOSCH HAUSGERAETE GMBH
42321403;BICYCLES;BOCAS TRK300 DAMEN HELLBRAUN 45 CM;1_2_3;BOCAS
72247571;CONTACT LENSES;1 DAY ACUVUE TRUEYE (30ER PACK);CL;JOHNSON & JOHNSON MEDI
48571409;USB MEMORY;SANDISK ULTRA FLAIR 128 GB USB-STICK USB 3.0;USB-STICKS;SANDISK
62204797;CONTACT LENSES;DAILIES AQUACOMFORT PLUS TORIC90 STÜCKUNISEX;LINSEN;CIBA
35937133;CONTACT LENSES;PUREVISION2;15350;BAUSCH + LOMB
21166427;CONTACT LENSES;BAUSCH & LOMB PUREVISION 2 HD, 2 X 6 STUECK;UNASSIGNED;
25515624;BICYCLES;ZUENDAPP RED 1.0 DA CITY 3-GG NEXUS  S5_2 24ER;FAHRRAEDER // FAHRRAEDER CITY-BIKES;SPRICK CYCLE GMBH
62215188;CONTACT LENSES;ACUVUE OASYS FOR ASTIGMATISM6 STÜCKUNISEX;LINSEN;J&J
25078897;USB MEMORY;MEM SANDISK ULTRA DUAL ANDROID 64GB BLACK;UNASSIGNED;SANDISK
63873133;USB MEMORY;__SUPRA USB 3.0 16GB;MEMORY__1610__MEMORY__1600;LEEF
17875546;CONTACT LENSES;ACUVUE 1-DAY MOIST FOR ASTIGMATISM, TORISCHE TAGESLINSEN WEICH, 90 STUECK / BC 8.5 MM / DIA 14.50 / CYL -1.25 / ACHSE 90 / -1.75 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3102TORICCONTACTLENSES;ACUVUE KONTAKTLINSEN
37754027;BICYCLES;VOTEC VD COMP - GRAVITY FULLSUSPENSION 27.5/26 - BLACK/GREY;FAHRRAEDER>>MTBFULLSUSPENSIONS>>MTBFULLSUSPENSIONS;VOTEC
18386570;CONTACT LENSES;AIR OPTIX NIGHT & DAY AQUA MONATSLINSEN WEICH, 3 STUECK / BC 8,4MM / DIA 13,8MM / +1,75 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3101SPHERICCONTACTLENSES;AIR OPTIX
62235701;CONTACT LENSES;SOFLENS DAILY DISPOSABLE TORIC30 STÜCKUNISEX;LINSEN;B&L
65715273;USB MEMORY;LEXAR JUMPDRIVE USB 2.0 8GB;SPEICHER __ DATENTRAEGER/PC-SPEICHER __ USB-STICKS;LEXAR
35935126;USB MEMORY;TS8GJF350/TS8GJF370 JETFLASH 350 370;15671;TRANSCEND
30899491;WASHINGMACHINES;LAVAMAT51060TL AEGTOPLADER, A+++6KG L51060TL;HAUSGERAETE_WASCHMASCHINEN_TOPLADER/AAEG;
17884504;CONTACT LENSES;FOCUS DAILIES TORIC TORISCHE TAGESLINSEN WEICH, 30 STUECK / BC 8.6 MM / DIA 14.2 / CYL -1,50 / ACHSE 90 / -1,25 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3102TORICCONTACTLENSES;ALCON
62608139;USB MEMORY;USB-STICK  16GB SILICON POWER  USB3.0 B05  BLACK;USB-SPEICHER;SILICON POWER
40724011;USB MEMORY;USB-STICK 32GB XLYNE  2.0 USB ALU;USB-SPEICHER;XLYNE
23524213;USB MEMORY;LEXAR LA 17580 128GB USB-STICK 3.0 USB;DIVERSESHANDYZUBEHOER;VERSCH.
22927331;WASHINGMACHINES;8690842851728 8690842851728 WASCHVOLLAUTOMATWMB71632PTEUOEOE  EEK:A++, 15 PROGR.,7KG BELADUNG;412;BEKO DEUTSCHLAND GMBH
65800610;USB MEMORY;LEXAR JUMPDRIVE USB 3.0 16GB;SPEICHER __ DATENTRAEGER/PC-SPEICHER __ USB-STICKS;LEXAR
30756931;USB MEMORY;LEXAR JUMPDRIVE USB 3.0 32GB;DATENTRAEGER/PC-SPEICHER;LEXAR
42293814;BICYCLES;HAIBIKE CHALLENGE DISC 8.50 CARBON MATT/SCHWARZ/WEISS 52 CM;1_5_1;HAIBIKE
66364239;USB MEMORY;TRANSCENDJETFLASH79032GBUSB3.0WHITE;LAUFWERKE / SPEICHERMEDIEN_FLASH-SPEICHERMEDIEN_USB-STICKS;
21203125;WASHINGMACHINES;BOSCH WAY287W5 - WASCHMASCHINE, 8 KG, A+++;11001;BOSCH
37707104;BICYCLES;SERIOUS ROCKVILLE 26 BLACK/GREEN;FAHRRAEDER>>MOUNTAINBIKES>>MTBHARDTAILS;SERIOUS
23551372;WASHINGMACHINES;WM 14 B 281  6KG  A+++;WEISSEWAREWASCHAUTOMATBIS1400UMIN;SIEMENS-HAUSGERäTE
72345009;CONTACT LENSES;CONTACTLINSEN ALCON PHARMA NOVARTIS GMBH PRIVATE LABEL AIR OPTIX AQUA;CL;ALCON PHARMA NOVARTIS GMBH
64619870;USB MEMORY;LACIE PETITEKEY 16GB USB 2.0 LACIE PETITEKEY 16GB USB 2.0;MEMORIAS USB __ 16 GB;LACIE COMPONENTES
52656747;USB MEMORY;USB STICK SILIKON MIT LOGO;799;SOENNECKEN
63993439;USB MEMORY;USB/UV150 32GB BLACK;PERIPHERALS __ FLASH MEMORY __ USB MEMORY STICKS;ADATA
65862893;USB MEMORY;VERBATIM CLIP-IT  8GB;SPEICHER __ DATENTRAEGER/PC-SPEICHER __ USB-STICKS;VERBATIM
23692380;WASHINGMACHINES;NEXT S364 TA  WASCHMASCHINE, TOPLADER, 6 KG FUELLMENGE, SCHLEUDERDREHZAHL U/MIN: MAXIMAL 1.400, 6 WASCHPROGRAMME, TOUCH-CONTROL-BEDIENUNG, STARTZEITVORWAHL, DISPLAY, RESTZEITANZEIGE, PROGRAMME UND OPTIONEN: BABY CARE, MENGENAUTOMATIK, AQUASTOP, ENERGIEEFFIZIENZKLASSE A+++ PATENTIERTE ALL-IN-ONE-WASCHTECHNOLOGIE,  31006941;WASCHMASCHINEN (STAND);HOOVER
25796804;WASHINGMACHINES;WM 14 W 4 C 1;WASCHMASCHINE;SIEMENS
64037824;USB MEMORY;8GB DRIVE S50 2-PACK (BLACK, GREEN);COMPONENTS __ COMPUTER COMPONENTS __ MEMORY;LEXAR
23602203;USB MEMORY;WAVE USB 3.0 16GB;PCMULTIMEDIAUSBSTICKS;XLYNE
59160560;BICYCLES;TREKKING DAMENRAD  28ER 24-GANG;6640130;
26095536;WASHINGMACHINES;MIE WASCHAU WMV 963 WPS D LW P ST  1 10499100;24;
62209008;CONTACT LENSES;FOCUS DAILIES TORIC30 STÜCKUNISEX;LINSEN;CIBA
63908131;USB MEMORY;(USB FLASH DRIVE)UFD 2.0,ULTIMA U0532GB,DEEP BLUE;MEMORY ( USB FLASH );SILICON POWER
28046723;USB MEMORY;1404563 TOSHIBA USB-STICK 16GB TRANSME U204 2.0 TRANSMEMORY? U204;02124__COMPUTERTECHNIK&BUERO-ORGANISATION_MEDIEN/LESEGERAETE_USB-MEMORY;TOSHIBA
25073110;WASHINGMACHINES;110 HGG WAM HOOVER NEXT S362 T WEIß B-WARE;UNASSIGNED;HOOVER
48594092;WASHINGMACHINES;GGV EXQUISIT WA 6310/6910;5010;GGV HANDELSGESELLSCHAFT MBH
37755636;BICYCLES;2. WAHL: FIXIE INC. FLOATER BLACK;RESTPOSTEN>>FAHRRADRESTPOSTEN>>ROADBIKES;FIXIE INC.
21342414;CONTACT LENSES;TAGESLINSEN  -4,75 ACUMED 1ST PK;3038;
62234723;CONTACT LENSES;ACUVUE OASYS FOR ASTIGMATISM6 STÜCKUNISEX;LINSEN;J&J
72320011;CONTACT LENSES;PROCLEAR TORIC XR;CL;COOPER VISION  G.M.B.H.
62232452;CONTACT LENSES;PROCLEAR TORIC6 STÜCKUNISEX;LINSEN;COOPER
62223362;CONTACT LENSES;PROCLEAR TORIC6 STÜCKUNISEX;LINSEN;COOPER
28783116;USB MEMORY;SANDISK CRUZER ULTRA FLAIR 128GB 3.0;1;
24287906;WASHINGMACHINES;WASCHVOLLAUTOMAT OMV510A+ OMV510A+|| EEK:A+, 1000 U/MIN, 5KG KAPAZITAET  5043487;412;VESTEL GERMANY GMBH
37704493;BICYCLES;SERIOUS SONORAN HYBRID HERREN SCHWARZ MATT;FAHRRAEDER>>CROSSRAEDER>>CROSSHERRENBIS500;SERIOUS
58428876;WASHINGMACHINES;ZANKER KWF71411WE;10000_100000451_1000003__ALLGEMEINDROEGE_GROSSGERAETE_ELEKTR.GROSSGERAETE;
40712614;USB MEMORY;ZZ USB-STICK 16GB VERBATIM 2.0 PIN STRIPE VOLCANIC ORANGE;USB-SPEICHER;VERBATIM
72382352;CONTACT LENSES;DAILIES TOTAL1 30ER-PACKUNG;CL;ALCON/CIBA VISION
49542573;USB MEMORY;USB 2,0 16GB 25MB TüRKIS;604740__SCHREIBWAREN_BUSINESS CENTER_DIGITALE SPEICHERMEDIEN;HAMA
23606882;WASHINGMACHINES;LAVAMAT 75480 WD 914605600 L75480WD;WASCHTROCKENBUEGELNWASCHVOLLTROCKNER;A E G
37685147;BICYCLES;2. WAHL: VOTEC VD ELITE - GRAVITY FULLSUSPENSION 27.5/26 - BLACK/GREY;RESTPOSTEN>>FAHRRADRESTPOSTEN>>MTBFULLYS;VOTEC
62217888;CONTACT LENSES;PUREVISION TORIC6 STÜCKUNISEX;LINSEN;B&L
28048555;USB MEMORY;412981 TRANSCEND USB-STICK 16GB JETFLASH 300 JETFLASH® 300;02124__COMPUTERTECHNIK&BUERO-ORGANISATION_MEDIEN/LESEGERAETE_USB-MEMORY;TRANSCEND
77732256;WASHINGMACHINES;BOSCH WAQ 284 A1 - WASCHMASCHINE, FRONTLADER, 7KG, 1400 U/M;11001;BOSCH
42297203;BICYCLES;BERGAMONT VITESS N8 HERREN RAVENBLACK/ANTHRACITE/SILVER 52 CM;1_4_2;BERGAMONT
61097724;CONTACT LENSES;PROCLEAR TORIC 6ER BOX;CL;
37686484;BICYCLES;FIXIE INC. FLOATER TWOSPEED RACE BLACK;FAHRRAEDER>>SINGLESPEED>>OLDSINGLESPEEDMITRENNRADLENKER;FIXIE INC.
26446975;USB MEMORY;32 GB CRUZER SWITCH;WECHSEL-LAUFWERKE / USB-STICKS;SANDISK
20295063;BICYCLES;BACHTENKIRCH KINDERFAHRRAD DOLFY, WEISS/ALTROSA-MET., 12.5, 1300410-DF-89;SPORTS__30000WHEELED__30070BIKES;BACHTENKIRCH
63237479;USB MEMORY;JETFLASH 850 USB C DRIVE 32GB SILVER USB 3.1 OTG  .;MEMORY AND PROCESSORS __ USB STORAGE MEDIA;TRANSCEND
68064033;BICYCLES;234200 CONTESSA 630 CONTESSA 630, S, ORANGE DAMEN;1008050545__MOUNTAINBIKE_RADSPORT_MTB_DAMEN;SCOTT
25094774;WASHINGMACHINES;110 HGG WAM BEKO WMB 71643 PTE WEIÃŸ# B-WARE;UNASSIGNED;BEKO
26334806;WASHINGMACHINES;WM 14 Y 54 E;WASCHMASCHINEN;SIEMENS
67403817;BICYCLES;551982  FAT 26 24G FAT 26 24G SCHWARZ;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_FAHRRÄDER;
